relative_time,BrightnessEV
10396,0.9838900275365065
10463,1.1277471277919773
10528,1.1888944414239162
10595,1.1905395611221896
10663,1.119349572891524
10729,0.9053575355494708
10795,0.5306777738867681
10863,0.060093608654857966
10929,-0.3091324225259592
10996,-0.5921421239213458
11063,-0.8060691472239768
11129,-0.9842810947188175
11196,-1.0978354640055892
11262,-1.2126189112554404
11329,-1.1822850125567725
11396,-1.1409365464067582
11463,-1.3301427737633422
11529,-1.4789457581046432
11595,-1.5539844986535847
11663,-1.6710238172488556
11729,-1.7212466888850237
11796,-1.7411973124622626
11863,-1.759075891730049
11929,-1.7687181505519505
11995,-1.7727402006268138
12062,-1.7895042172885847
12129,-1.7811994958431678
12195,-1.784975288017379
12262,-1.7769365694463624
12329,-1.7640251476045146
12395,-1.7514296943814014
12462,-1.7509154562576577
12529,-1.744330301998065
12596,-1.7271347101995695
12663,-1.7271347101995695
12729,-1.7271347101995695
12796,-1.7158193969717355
12864,-1.7158193969717355
12929,-1.7045921415484815
12996,-1.7045921415484815
13063,-1.7045921415484815
13129,-1.693451583943281
13196,-1.693451583943281
13264,-1.693451583943281
13329,-1.6823963954342853
13396,-1.6823963954342853
13463,-1.671425277613282
13529,-1.5968783242482283
13595,-1.4870007064758546
13664,-1.3849025188571185
13729,-1.3670912427406579
13795,-1.358267392353652
13863,-1.3407799656248107
13929,-1.3497984581538627
13995,-1.3744164016773306
14063,-1.3905818248716035
14129,-1.4261745411365236
14196,-1.445410759999441
14263,-1.4551259148326525
14329,-1.4551259148326525
14396,-1.4166517670180168
14464,-1.379177061599354
14529,-1.34265118557424
14596,-1.2895398491146777
14664,-1.156784640262906
14729,-0.9839304085900525
14795,-0.9889863986368029
14863,-1.022204254185737
14929,-0.9281790056760189
14996,-0.8038536144024461
15062,-0.531406309379764
15129,-0.11550517085578307
15195,0.4894793155216888
15264,0.9514628459054034
15329,0.7976343254281981
15395,0.29129942122454483
15463,-0.413335390969633
15529,-0.8642488075369671
15595,-1.1418652204271673
15664,-1.3054787986773808
15729,-1.4301415174645615
15795,-1.4451805307812278
15863,-1.418294581811371
15929,-1.4532440180996578
15996,-1.5704856919789363
16064,-1.6386939941539227
16129,-1.6807267030382
16196,-1.731075109027433
16263,-1.761116097049255
16329,-1.7701257880913066
16396,-1.7795962042824687
16464,-1.7760133430661647
16529,-1.780540580535578
16596,-1.7718328671733539
16664,-1.7640143231024987
16729,-1.7633863629844309
16796,-1.762768602217437
16863,-1.7502866939723127
16929,-1.7504094008163242
16996,-1.743266217209714
17064,-1.7354666394221958
17128,-1.7354666394221958
17195,-1.7240618761499467
17263,-1.7240618761499467
17329,-1.7240618761499467
17395,-1.7127465629221124
17464,-1.7127465629221124
17529,-1.7127465629221124
17596,-1.7015193074988584
17663,-1.7015193074988584
17729,-1.7015193074988584
17796,-1.690378749893658
17863,-1.690378749893658
17929,-1.690378749893658
